Date,GOOG,FB,AMZN
2020-01-27,1433.900024,214.869995,1828.339966
2020-01-28,1452.560059,217.789993,1853.25
2020-01-29,1458.630005,223.229996,1858
2020-01-30,1455.839966,209.529999,1870.680054
2020-01-31,1434.22998,201.910004,2008.719971
2020-02-03,1485.939941,204.190002,2004.199951
2020-02-04,1447.069946,209.830002,2049.669922
2020-02-05,1448.22998,210.110001,2039.869995
2020-02-06,1476.22998,210.850006,2050.22998
2020-02-07,1479.22998,212.330002,2079.280029
2020-02-10,1508.680054,213.059998,2133.909912
2020-02-11,1508.790039,207.190002,2150.800049
2020-02-12,1518.27002,210.759995,2160
2020-02-13,1514.660034,213.139999,2149.870117
2020-02-14,1520.73999,214.179993,2134.870117
2020-02-18,1519.670044,217.800003,2155.669922
2020-02-19,1526.689941,217.490005,2170.219971
2020-02-20,1518.150024,214.580002,2153.100098
2020-02-21,1485.109985,210.179993,2095.969971
2020-02-24,1421.589966,200.720001,2009.290039
2020-02-25,1388.449951,196.770004,1972.73999
2020-02-26,1393.180054,197.199997,1979.589966
2020-02-27,1318.089966,189.75,1884.300049
2020-02-28,1339.329956,192.470001,1883.75
2020-03-02,1389.109985,196.440002,1953.949951
2020-03-03,1341.390015,185.889999,1908.98999
2020-03-04,1386.52002,191.759995,1975.829956
2020-03-05,1319.040039,185.169998,1924.030029
2020-03-06,1298.410034,181.089996,1901.089966
2020-03-09,1215.560059,169.5,1800.609985
2020-03-10,1280.390015,178.190002,1891.819946
2020-03-11,1215.410034,170.240005,1820.859985
2020-03-12,1114.910034,154.470001,1676.609985
2020-03-13,1219.72998,170.279999,1785
2020-03-16,1084.329956,146.009995,1689.150024
2020-03-17,1119.800049,149.419998,1807.839966
2020-03-18,1096.800049,146.960007,1830
2020-03-19,1115.290039,153.130005,1880.930054
2020-03-20,1072.319946,149.729996,1846.089966
2020-03-23,1056.619995,148.100006,1902.829956
2020-03-24,1134.459961,160.979996,1940.099976
2020-03-25,1102.48999,156.210007,1885.839966
2020-03-26,1161.75,163.339996,1955.48999
2020-03-27,1110.709961,156.789993,1900.099976
2020-03-30,1146.819946,165.949997,1963.949951
2020-03-31,1162.810059,166.800003,1949.719971
2020-04-01,1105.619995,159.600006,1907.699951
2020-04-02,1120.839966,158.190002,1918.829956
2020-04-03,1097.880005,154.179993,1906.589966
2020-04-06,1186.920044,165.550003,1997.589966
2020-04-07,1186.51001,168.830002,2011.599976
2020-04-08,1210.280029,174.279999,2043
2020-04-09,1211.449951,175.190002,2042.76001
2020-04-13,1217.560059,174.789993,2168.870117
2020-04-14,1269.22998,178.169998,2283.320068
2020-04-15,1262.469971,176.970001,2307.679932
2020-04-16,1263.469971,176.25,2408.189941
2020-04-17,1283.25,179.240005,2375
2020-04-20,1266.609985,178.240005,2393.610107
2020-04-21,1216.339966,170.800003,2328.120117
2020-04-22,1263.209961,182.279999,2363.48999
2020-04-23,1276.310059,185.130005,2399.449951
2020-04-24,1279.310059,190.070007,2410.219971
2020-04-27,1275.880005,187.5,2376
2020-04-28,1233.670044,182.910004,2314.080078
2020-04-29,1341.47998,194.190002,2372.709961
2020-04-30,1348.660034,204.710007,2474
2020-05-01,1320.609985,202.270004,2286.040039
2020-05-04,1326.800049,205.259995,2315.98999
2020-05-05,1351.109985,207.070007,2317.800049
2020-05-06,1347.300049,208.470001,2351.26001
2020-05-07,1372.560059,211.259995,2367.610107
2020-05-08,1388.369995,212.350006,2379.610107
2020-05-11,1403.26001,213.179993,2409
2020-05-12,1375.73999,210.100006,2356.949951
2020-05-13,1349.329956,205.100006,2367.919922
2020-05-14,1356.130005,206.809998,2388.850098
2020-05-15,1373.189941,210.880005,2409.780029
2020-05-18,1383.939941,213.190002,2426.26001
2020-05-19,1373.484985,216.880005,2449.330078
2020-05-20,1406.719971,229.970001,2497.939941
2020-05-21,1402.800049,231.389999,2446.73999
2020-05-22,1410.420044,234.910004,2436.879883
2020-05-26,1417.02002,232.199997,2421.860107
2020-05-27,1417.839966,229.139999,2410.389893
2020-05-28,1416.72998,225.460007,2401.100098
2020-05-29,1428.920044,225.089996,2442.370117
2020-06-01,1431.819946,231.910004,2471.040039
2020-06-02,1439.219971,232.720001,2472.409912
2020-06-03,1436.380005,230.160004,2478.399902
2020-06-04,1412.180054,226.289993,2460.600098
2020-06-05,1438.390015,230.770004,2483
2020-06-08,1446.609985,231.399994,2524.060059
2020-06-09,1456.160034,238.669998,2600.860107
2020-06-10,1465.849976,236.729996,2647.449951
2020-06-11,1403.839966,224.429993,2557.959961
2020-06-12,1413.180054,228.580002,2545.02002
2020-06-15,1419.849976,232.5,2572.679932
2020-06-16,1442.719971,235.649994,2615.27002
2020-06-17,1451.119995,235.529999,2640.97998
2020-06-18,1435.959961,235.940002,2653.97998
2020-06-19,1431.719971,238.789993,2675.01001
2020-06-22,1451.859985,239.220001,2713.820068
2020-06-23,1464.410034,242.240005,2764.409912
2020-06-24,1431.969971,234.020004,2734.399902
2020-06-25,1441.329956,235.679993,2754.580078
2020-06-26,1359.900024,216.080002,2692.870117
2020-06-29,1394.969971,220.639999,2680.379883
2020-06-30,1413.609985,227.070007,2758.820068
2020-07-01,1438.040039,237.550003,2878.699951
2020-07-02,1464.699951,233.419998,2890.300049
2020-07-06,1495.699951,240.279999,3057.040039
2020-07-07,1485.180054,240.860001,3000.120117
2020-07-08,1496,243.580002,3081.110107
2020-07-09,1510.98999,244.5,3182.629883
2020-07-10,1541.73999,245.070007,3200
2020-07-13,1511.339966,239,3104
2020-07-14,1520.579956,239.729996,3084
2020-07-15,1513.640015,240.279999,3008.870117
2020-07-16,1518,240.929993,2999.899902
2020-07-17,1515.550049,242.029999,2961.969971
2020-07-20,1565.719971,245.419998,3196.840088
2020-07-21,1558.420044,241.75,3138.290039
2020-07-22,1568.48999,239.869995,3099.909912
2020-07-23,1515.680054,232.600006,2986.550049
2020-07-24,1511.869995,230.710007,3008.909912
2020-07-27,1530.199951,233.5,3055.209961
2020-07-28,1500.339966,230.119995,3000.330078
2020-07-29,1522.02002,233.289993,3033.530029
2020-07-30,1531.449951,234.5,3051.879883
2020-07-31,1482.959961,253.669998,3164.679932
2020-08-03,1474.449951,251.960007,3111.889893
2020-08-04,1464.969971,249.830002,3138.830078
2020-08-05,1473.609985,249.119995,3205.030029
2020-08-06,1500.099976,265.279999,3225
2020-08-07,1494.48999,268.440002,3167.459961
2020-08-10,1496.099976,263,3148.159912
2020-08-11,1480.319946,256.130005,3080.669922
2020-08-12,1506.619995,259.890015,3162.23999
2020-08-13,1518.449951,261.299988,3161.02002
2020-08-14,1507.72998,261.23999,3148.02002
2020-08-17,1517.97998,261.160004,3182.409912
2020-08-18,1558.599976,262.339996,3312.48999
2020-08-19,1547.530029,262.589996,3260.47998
2020-08-20,1581.75,269.01001,3297.370117
2020-08-21,1580.420044,267.01001,3284.719971
2020-08-24,1588.199951,271.390015,3307.459961
2020-08-25,1608.219971,280.820007,3346.48999
2020-08-26,1652.380005,303.910004,3441.850098
2020-08-27,1634.329956,293.220001,3400
2020-08-28,1644.410034,293.660004,3401.800049
2020-08-31,1634.180054,293.200012,3450.959961
2020-09-01,1660.709961,295.440002,3499.120117
2020-09-02,1728.280029,302.5,3531.449951
2020-09-03,1641.839966,291.119995,3368
2020-09-04,1591.040039,282.730011,3294.620117
2020-09-08,1532.390015,271.160004,3149.840088
2020-09-09,1556.959961,273.720001,3268.610107
2020-09-10,1532.02002,268.089996,3175.110107
2020-09-11,1520.719971,266.609985,3116.219971
2020-09-14,1519.280029,266.149994,3102.969971
2020-09-15,1541.439941,272.420013,3156.129883
2020-09-16,1520.900024,263.519989,3078.100098
2020-09-17,1495.530029,254.820007,3008.72998
2020-09-18,1459.98999,252.529999,2954.909912
2020-09-21,1431.160034,248.149994,2960.469971
2020-09-22,1465.459961,254.75,3128.98999
2020-09-23,1415.209961,249.020004,2999.860107
2020-09-24,1428.290039,249.529999,3019.790039
2020-09-25,1444.959961,254.820007,3095.129883
2020-09-28,1464.52002,256.820007,3174.050049
2020-09-29,1469.329956,261.790009,3144.879883
2020-09-30,1469.599976,261.899994,3148.72998
2020-10-01,1490.089966,266.630005,3221.26001
2020-10-02,1458.420044,259.940002,3125
2020-10-05,1486.02002,264.649994,3199.199951
2020-10-06,1453.439941,258.660004,3099.959961
2020-10-07,1460.290039,258.119995,3195.689941
2020-10-08,1485.930054,263.76001,3190.550049
2020-10-09,1515.219971,264.450012,3286.649902
2020-10-12,1569.150024,275.75,3442.929932
2020-10-13,1571.680054,276.140015,3443.629883
2020-10-14,1568.079956,271.820007,3363.709961
2020-10-15,1559.130005,266.720001,3338.649902
2020-10-16,1573.01001,265.929993,3272.709961
2020-10-19,1534.609985,261.399994,3207.209961
2020-10-20,1555.930054,267.559998,3217.01001
2020-10-21,1593.310059,278.730011,3184.939941
2020-10-22,1615.329956,278.119995,3176.399902
2020-10-23,1641,284.790009,3204.399902
2020-10-26,1590.449951,277.109985,3207.040039
2020-10-27,1604.26001,283.290009,3286.330078
2020-10-28,1516.619995,267.670013,3162.780029
2020-10-29,1567.23999,280.829987,3211.01001
2020-10-30,1621.01001,263.109985,3036.149902
2020-11-02,1626.030029,261.359985,3004.47998
2020-11-03,1650.209961,265.299988,3048.409912
2020-11-04,1749.130005,287.380005,3241.159912
2020-11-05,1763.369995,294.679993,3322
2020-11-06,1761.75,293.410004,3311.370117
2020-11-09,1763,278.769989,3143.73999
2020-11-10,1740.390015,272.429993,3035.02002
2020-11-11,1752.709961,276.480011,3137.389893
2020-11-12,1749.839966,275.079987,3110.280029
2020-11-13,1777.02002,276.950012,3128.810059
2020-11-16,1781.380005,278.959991,3131.060059
2020-11-17,1770.150024,275,3135.659912
2020-11-18,1746.780029,271.970001,3105.459961
2020-11-19,1763.920044,272.940002,3117.02002
2020-11-20,1742.189941,269.700012,3099.399902
2020-11-23,1734.859985,268.429993,3098.389893
2020-11-24,1768.880005,276.920013,3118.060059
2020-11-25,1771.430054,275.589996,3185.070068
2020-11-27,1793.189941,277.809998,3195.340088
2020-11-30,1760.73999,276.970001,3168.040039
2020-12-01,1798.099976,286.549988,3220.080078
2020-12-02,1827.949951,287.519989,3203.530029
2020-12-03,1826.77002,281.850006,3186.72998
2020-12-04,1827.98999,279.700012,3162.580078
2020-12-07,1819.47998,285.579987,3158
2020-12-08,1818.550049,283.399994,3177.290039
2020-12-09,1784.130005,277.920013,3104.199951
2020-12-10,1775.329956,277.119995,3101.48999
2020-12-11,1781.77002,273.549988,3116.419922
2020-12-14,1760.060059,274.190002,3156.969971
2020-12-15,1767.77002,275.549988,3165.120117
2020-12-16,1763,275.670013,3240.959961
2020-12-17,1747.900024,274.480011,3236.080078
2020-12-18,1731.01001,276.399994,3201.649902
2020-12-21,1739.369995,272.790009,3206.179932
2020-12-22,1723.5,267.089996,3206.52002
2020-12-23,1732.380005,268.109985,3185.27002
2020-12-24,1738.849976,267.399994,3172.689941
2020-12-28,1776.089966,277,3283.959961
2020-12-29,1758.719971,276.779999,3322
2020-12-30,1739.52002,271.869995,3285.850098
2020-12-31,1751.880005,273.160004,3256.929932
2021-01-04,1728.23999,268.940002,3186.629883
2021-01-05,1740.920044,270.970001,3218.51001
2021-01-06,1735.290039,263.309998,3138.379883
2021-01-07,1787.25,268.73999,3162.159912
2021-01-08,1807.209961,267.570007,3182.699951
2021-01-11,1766.719971,256.839996,3114.209961
2021-01-12,1746.550049,251.089996,3120.830078
2021-01-13,1754.400024,251.639999,3165.889893
2021-01-14,1740.180054,245.639999,3127.469971
2021-01-15,1736.189941,251.360001,3104.25
2021-01-19,1790.859985,261.100006,3120.76001
2021-01-20,1886.900024,267.480011,3263.379883
2021-01-21,1891.25,272.869995,3306.98999
2021-01-22,1901.050049,274.5,3292.22998
2021-01-25,1899.400024,278.01001,3294
2021-01-26,1907,283,3322.860107
